0.000000000000000000e+00	1.130000000000000000e+02
2.300000000000000000e+01	9.100000000000000000e+01
4.500000000000000000e+01	7.100000000000000000e+01
6.800000000000000000e+01	5.300000000000000000e+01
9.100000000000000000e+01	3.800000000000000000e+01
1.130000000000000000e+02	2.500000000000000000e+01
1.360000000000000000e+02	1.500000000000000000e+01
1.580000000000000000e+02	8.000000000000000000e+00
1.810000000000000000e+02	3.000000000000000000e+00
2.040000000000000000e+02	0.000000000000000000e+00
2.260000000000000000e+02	0.000000000000000000e+00
2.490000000000000000e+02	3.000000000000000000e+00
2.720000000000000000e+02	8.000000000000000000e+00
2.940000000000000000e+02	1.500000000000000000e+01
3.170000000000000000e+02	2.500000000000000000e+01
3.390000000000000000e+02	3.800000000000000000e+01
3.620000000000000000e+02	5.300000000000000000e+01
3.850000000000000000e+02	7.100000000000000000e+01
4.070000000000000000e+02	9.100000000000000000e+01
4.300000000000000000e+02	1.130000000000000000e+02
